rainfall_mm,farm_size_hectares,sunlight_hours,fertilizer_kg,crop_yield
840,443,9,1992,293
1269,473,5,2987,351
1260,690,10,2315,442
1468,923,6,665,523
948,543,4,1382,332
1334,75,6,1562,119
1703,30,12,1234,102
1930,621,9,843,392
1719,393,9,772,280
1989,821,7,2986,537
810,624,11,630,366
761,568,8,1413,342
1942,48,10,661,98
905,294,12,1633,210
642,831,8,2322,490
841,611,8,401,346
1839,606,7,284,377
1624,794,9,609,467
743,345,5,2966,265
989,197,6,1433,175
511,680,4,1469,391
1762,252,5,2303,227
1060,82,5,2934,150
541,488,11,894,295
1177,983,11,2579,597
1093,570,5,1623,363
1952,110,9,860,138
1681,523,8,2294,363
1739,765,6,2628,506
1985,185,8,534,168
633,247,8,1642,192
1590,919,8,2138,559
1530,68,6,1806,121
1447,874,6,168,492
572,108,7,1729,108
898,963,10,2004,556
1928,880,5,2333,563
1077,963,7,2829,573
1358,504,7,2351,342
629,956,4,653,524
1430,989,11,2160,582
1989,523,4,2813,390
1729,764,11,1397,471
765,306,10,2198,235
1292,220,12,599,162
752,132,11,2516,152
1321,238,8,2871,225
1812,603,11,2504,413
663,665,6,2994,425
594,397,10,1629,268
1332,149,7,2403,165
1633,550,8,1611,357
835,400,12,378,234
1321,279,10,1182,204
737,768,7,545,426
880,21,9,2260,101
1959,876,10,935,528
1398,398,12,854,261
982,346,7,1945,260
1401,515,6,1692,348
1548,115,11,1612,143
1640,41,4,1530,105
981,83,12,2514,140
1915,180,4,1183,186
1416,858,5,2476,524
1493,78,11,2875,146
1463,822,12,1690,494
1036,371,10,2008,276
1602,658,6,2867,435
1696,442,10,2331,330
1535,938,9,1122,540
627,109,5,2458,123
591,667,6,1661,387
1042,18,8,276,57
1345,583,7,946,357
1488,706,5,1348,435
946,38,7,1700,98
889,902,11,1704,531
1171,123,8,2075,157
542,471,8,2156,310
753,930,6,335,495
1653,152,11,809,157
1583,399,9,2832,321
1162,641,5,893,384
966,691,5,2955,452
786,166,12,2034,156
1510,344,10,1769,264
1990,870,12,126,508
1277,269,9,2697,244
844,91,8,1326,104
1141,763,4,184,422
881,450,9,1955,307
1189,954,9,2613,568
1776,181,6,1222,187
1579,240,6,1313,210
1986,729,6,111,429
956,84,6,1112,108
1482,279,10,1848,238
582,908,5,1976,529
1622,635,5,2719,437
648,71,6,1417,102
1852,883,10,1483,544
1679,329,6,1778,253
689,111,10,279,89
1382,438,12,896,292
762,883,7,1567,498
1603,731,10,2124,457
899,963,12,2588,565
1263,264,11,986,197
1108,541,11,2568,370
1783,579,12,1289,380
1284,121,8,1775,137
600,994,8,1619,564
1882,322,6,2615,272
1903,470,8,2860,358
1319,717,11,2532,456
1744,896,8,2461,562
1319,471,7,870,307
919,874,11,1378,501
623,101,10,1058,109
921,61,9,1016,87
1754,814,8,2170,506
1586,529,8,1881,364
1267,821,5,438,460
982,107,7,1616,134
1018,245,11,2970,224
654,910,11,2513,540
591,383,4,1495,250
1481,590,5,1014,366
954,936,8,1953,542
1097,566,12,574,339
1009,658,10,1546,397
1706,243,8,1479,217
885,41,4,1583,95
904,298,9,2174,220
745,647,11,2949,412
1241,588,10,900,356
1160,551,5,1346,340
1149,123,8,963,126
1994,213,7,2837,228
1946,38,12,1271,116
1400,652,4,838,393
564,483,9,1474,295
1536,706,6,2562,459
712,262,12,1081,189
741,807,8,2576,482
992,914,9,2188,543
1736,931,12,1111,551
837,395,12,2850,281
672,71,11,2226,113
1171,524,12,816,327
663,439,7,1907,278
964,589,9,2691,394
1494,546,8,1573,360
996,700,8,2621,435
1199,150,7,1265,145
894,752,5,2441,458
1202,309,9,709,218
807,684,12,2283,427
682,320,4,2631,233
1128,480,10,1912,321
1009,402,9,1435,265
1045,651,6,2961,417
1123,454,4,654,278
1093,767,7,1755,462
1243,818,12,1855,497
1750,181,5,145,160
1959,585,6,1359,385
1945,40,5,1171,106
1053,56,5,2345,115
520,139,11,2231,147
1053,361,6,642,236
896,987,10,1551,568
1124,854,11,2218,516
604,631,6,2667,390
691,590,5,2092,366
516,67,11,1012,86
1643,115,6,1168,145
892,821,10,2440,499
924,339,4,911,216
628,777,9,1588,446
1653,833,12,2008,519
1071,692,6,1673,424
528,392,10,966,242
1620,994,9,2527,611
1533,171,11,1866,180
741,295,6,2409,237
731,80,6,679,80
1288,776,7,2504,483
1807,463,6,1542,321
1214,895,12,797,501
1258,576,7,2076,386
1301,844,9,2590,522
1275,406,11,825,259
1225,524,11,385,308
699,35,8,1991,81
1444,322,8,669,224
578,135,9,2987,155
1455,417,10,2064,308
1355,574,10,1613,365
1696,207,7,597,167
966,820,9,2017,484
1080,197,10,804,152
1939,707,8,1456,450
1439,826,8,661,476
948,819,5,2098,486
586,725,10,131,400
600,493,9,142,280
1531,459,4,2016,322
1344,532,7,1474,340
1723,880,6,1945,541
586,363,6,658,217
542,995,10,2417,573
1908,667,7,1536,438
1958,606,11,1042,394
907,109,12,1698,123
1163,625,6,1470,385
1540,957,8,2028,576
647,567,7,1736,342
776,565,9,2184,364
731,287,7,191,176
865,702,11,1943,431
1751,708,6,284,431
935,999,8,827,563
898,635,4,1151,372
1734,500,9,1671,354
1914,264,8,2519,253
998,390,11,931,261
1039,901,12,444,498
1062,551,11,1542,353
941,273,11,1319,196
1784,619,6,2225,420
1272,834,7,266,465
849,888,7,363,489
1875,338,8,1595,276
1019,124,12,1331,138
1843,285,12,2871,266
637,497,4,1386,298
1491,290,11,1629,227
867,284,4,1908,217
1743,782,5,2659,503
1860,852,10,1977,532
1746,728,11,1849,454
859,905,4,2009,537
1420,337,6,2723,266
828,220,10,2869,197
1461,736,12,1435,456
962,932,11,1297,536
1445,561,11,2578,383
1462,35,12,867,90
1905,36,6,2610,142
1335,711,11,200,413
668,92,4,1832,115
716,905,11,2019,521
877,955,10,2391,569
618,691,11,1471,413
689,422,4,204,246
1266,176,9,793,147
869,709,10,1790,425
648,178,8,1410,145
1151,810,8,1170,472
1269,988,10,1166,570
873,238,6,917,180
1280,988,9,2368,597
659,618,10,1636,372
850,376,4,2291,270
1811,537,5,989,359
1811,800,7,1977,501
1391,656,11,1973,420
1749,547,9,889,351
1022,873,4,652,481
1021,533,8,943,329
1282,81,10,758,113
772,654,9,2984,421
1435,115,12,1118,140
1925,741,11,2053,482
682,894,7,1290,506
987,974,8,850,536
1345,698,10,2396,454
623,291,11,874,201
1484,142,8,2911,191
1289,543,12,1480,351
913,984,7,791,540
1695,278,7,2967,250
1811,421,11,818,288
1958,682,4,333,411
1185,628,11,2171,394
612,800,8,1504,453
1387,874,4,1105,507
621,756,7,1469,441
1745,27,5,1501,112
538,763,7,2669,456
996,126,11,2164,147
1279,807,8,2392,509
1756,803,4,2865,520
1442,153,10,2917,189
648,726,4,816,405
1920,560,12,1662,390
1521,938,6,1811,561
1160,675,6,1325,411
801,697,9,1371,417
1883,970,9,2265,606
737,762,9,108,418
1146,431,4,697,274
1162,907,8,122,492
735,378,9,2090,256
702,655,11,2387,397
755,567,4,1708,357
1097,59,8,2174,125
1161,687,6,1204,421
734,115,5,2346,143
1868,225,11,2922,240
1033,667,10,191,371
1359,932,10,950,537
1989,434,8,2082,325
1269,81,12,1207,104
1040,997,8,399,538
712,851,5,2443,504
962,794,6,2794,484
935,768,7,1577,450
782,455,8,1404,280
1986,934,6,1100,555
1930,195,10,1182,190
587,79,8,1465,105
1567,983,8,2900,603
960,159,9,2489,159
777,255,10,2209,208
920,783,11,875,440
1876,547,12,2772,402
1195,944,7,1552,544
1014,661,8,1781,411
1202,108,8,1851,142
518,919,11,2403,528
522,287,12,2975,226
912,572,10,1951,355
1553,672,8,1997,429
607,953,6,1829,548
1890,464,4,1427,320
1804,113,12,714,130
1651,955,8,344,541
1752,610,12,856,384
1634,662,7,923,399
635,734,8,2927,457
861,242,7,2879,223
1709,403,5,1946,304
628,510,4,1535,321
1784,704,11,1340,439
1014,260,7,615,183
948,530,8,573,308
1627,88,9,135,102
1747,61,11,1510,116
1373,907,11,1892,552
972,930,10,1834,540
1533,790,7,929,472
1928,235,9,1192,200
801,60,7,2513,123
730,195,10,1285,164
1422,43,4,1862,114
1589,812,8,1044,493
1436,751,7,1611,462
611,140,10,530,110
1536,641,12,2122,424
1916,452,8,958,317
999,847,7,329,471
1431,768,12,2517,482
1097,441,8,277,268
733,713,12,1533,412
1101,506,11,2715,349
813,412,7,1713,281
1065,332,10,2940,276
1535,219,8,1863,194
708,624,7,1874,389
1537,338,8,1074,245
1941,381,8,181,263
1960,469,12,945,325
1900,142,12,2909,203
1543,844,9,1316,506
1086,660,7,717,386
1514,130,5,2363,170
1593,615,6,2437,405
1734,461,5,544,302
1624,974,8,1022,559
1197,138,9,2699,166
631,100,8,292,88
1904,613,5,1762,407
1655,584,8,388,360
1543,38,12,2730,123
1035,731,7,1267,427
1513,533,5,1530,355
726,342,6,1934,234
1677,306,6,2070,255
1992,139,12,2928,197
1321,302,7,995,229
1370,182,4,1019,153
904,729,4,2711,464
701,953,10,2134,547
537,33,10,1652,69
1441,108,5,1800,140
687,415,12,2160,273
1580,365,12,1825,270
1440,148,8,2487,182
1543,512,6,1997,353
772,835,6,1899,481
1642,183,6,411,160
1082,38,9,2880,128
1015,940,7,1227,542
1744,505,11,438,327
1025,664,8,2447,428
835,837,4,458,461
1197,360,12,2316,275
1578,563,4,1272,367
999,308,9,2908,247
1399,729,4,867,436
1265,851,6,2189,508
1035,954,8,301,531
661,201,10,1792,175
1093,681,11,563,396
658,73,12,548,76
1711,764,9,1012,466
559,779,12,897,433
1414,673,11,893,416
1842,224,12,536,187
710,843,7,2016,502
905,175,12,1873,165
1163,552,10,630,342
1632,892,8,664,521
1599,241,8,1720,208
1041,803,4,1396,465
1837,550,5,312,355
1497,204,6,1048,172
1640,515,11,1227,342
1426,343,9,291,231
1367,777,8,1503,464
518,802,4,2090,463
931,313,12,1204,224
1239,842,6,804,489
1873,446,6,648,305
682,332,5,1961,244
612,511,7,253,286
1706,867,5,1765,526
980,923,12,670,509
1669,402,10,1884,298
1330,815,11,2387,500
1636,608,6,2521,418
1262,158,9,904,148
975,770,9,898,437
1262,842,4,710,489
1826,414,9,2835,327
1470,292,6,2921,265
1519,371,6,1906,282
1641,388,6,242,261
660,207,11,371,142
900,565,8,1655,345
697,365,7,2573,272
1783,549,12,2193,383
1159,438,12,2242,314
1570,26,4,2211,105
898,648,5,2560,411
577,388,11,558,224
623,689,8,1838,419
574,515,10,1532,320
636,765,4,2617,468
1101,908,8,2957,547
1923,85,6,605,129
1336,240,5,1809,199
999,725,5,1196,433
637,971,12,183,509
549,257,7,158,167
1472,311,7,1144,239
753,735,10,1581,429
1209,224,5,2304,211
1062,167,6,1452,157
1256,78,6,1696,121
1949,402,9,675,282
1046,94,6,2984,155
1825,276,8,779,211
1421,78,7,302,90
1080,620,6,1229,384
1872,356,11,417,248
548,971,6,1305,543
1416,737,9,1738,463
1597,936,10,1896,569
1203,682,10,505,394
760,432,5,2642,292
855,615,6,778,355
1783,183,7,1370,189
1137,686,10,1989,420
1242,124,5,1647,137
1818,229,6,1743,222
1509,965,10,1459,572
1430,40,10,1545,105
1140,532,6,934,333
1291,352,4,2341,274
1836,386,6,2455,306
1111,139,8,1768,155
1308,626,10,2030,400
1705,548,7,2653,389
1185,748,4,380,420
1887,11,9,2822,121
687,880,5,1913,501
1484,110,6,1032,139
1047,542,7,2862,372
1224,67,9,707,87
1425,398,9,582,256
1931,701,10,1346,452
1375,950,8,1872,566
1117,350,10,2264,259
913,870,5,291,473
1865,29,4,2935,142
1743,264,11,2765,249
1402,326,4,2117,266
662,47,5,2663,107
1743,669,9,406,410
769,546,4,631,325
1131,395,6,221,236
1405,642,10,2796,424
1923,937,11,691,553
1705,35,7,1575,111
704,463,6,158,268
1081,690,4,2448,441
1340,332,12,2700,271
1751,746,9,1673,464
1095,522,9,1240,322
749,828,12,1910,488
1374,782,4,1905,471
1964,22,9,498,85
695,924,8,2662,543
1189,917,9,2952,554
1593,569,11,2645,394
1138,930,8,1041,539
1922,834,5,627,492
1171,380,5,2545,279
1726,300,8,1874,244
1671,341,6,1521,266
1995,615,6,1769,413
1443,270,11,1650,224
698,799,10,535,442
1949,880,4,939,528
991,214,8,459,151
1395,706,12,1252,435
641,696,7,963,399
1836,959,4,2781,603
664,396,11,1750,264
813,901,8,1832,520
520,830,5,1345,476
1605,477,4,2361,348
1654,424,6,1015,291
1483,78,12,2739,155
804,481,4,1898,319
870,113,7,2282,129
1352,767,11,2901,493
883,170,11,485,134
