id,tea_bush_density,fertilizer,pesticide,sunlight_hours,humidity,max_temperature,min_temperature,avg_temperature,rainfall,monthly_rainfall,tea_quality,shoot_length,bud_density,tea_yield
8492,2000,85.8,2.22,1856,85.4,33.3,13,23.2,2303,191.9,0.265,9.2,226,173.2
8493,3000,175.4,0.42,1944,84,25.4,16.2,20.8,2118,176.5,0.281,11.6,219,255.1
8494,1500,158.3,0.89,1537,64.5,33.5,10.8,22.2,1976,164.7,0.362,12.6,235,167.6
8495,3000,85.1,2.99,2262,73.9,29.8,18.2,24,1280,106.7,0.233,8.3,358,219.2
8496,3000,196.2,2.96,1396,69.1,33.3,12.4,22.8,1786,148.8,0.185,13.9,161,232
8497,2000,149.7,0.22,1840,72,32.5,13.1,22.8,1014,84.5,0.359,13.6,479,197.6
8498,1500,117.9,2.21,1003,76.2,30.7,13.8,22.2,1311,109.2,0.327,9.1,483,175.1
8499,2000,73.6,2.65,2410,75,28.7,12.1,20.4,2203,183.6,0.207,13.3,380,188.1
8500,2000,130,1.34,2422,64.2,31.7,18.1,24.9,1983,165.2,0.288,8.4,483,183.5
8501,2000,74.7,4.36,2066,63.7,33.3,10.7,22,1821,151.8,0.144,12.2,245,168.5
8502,1500,114.4,0.81,1635,63.9,30,19.3,24.6,2265,188.8,0.327,14.7,174,131.5
8503,3000,111.3,1.27,1268,85.2,29.1,19.3,24.2,1663,138.6,0.269,8.1,173,220.3
8504,1500,158,0.78,1739,60.6,26.4,18.3,22.4,1420,118.3,0.338,10.7,314,146.4
8505,2500,78.9,0.58,2187,66.1,34,19.5,26.8,2258,188.2,0.312,8.6,175,168.1
8506,1000,173.3,4.39,1908,88.7,27.7,17.6,22.6,1454,121.2,0.139,10,174,120.3
8507,2000,98.9,1.39,1791,62,26.2,15.6,20.9,2284,190.3,0.241,7.2,447,147.1
8508,3000,116.6,3.61,2274,61.1,25.7,17.2,21.4,1995,166.2,0.209,9.3,242,245.9
8509,1500,165.9,2.14,1470,71.6,32.5,10,21.2,1947,162.2,0.191,11.4,384,183.5
8510,1500,143.8,3.18,2290,64.5,31.7,16.9,24.3,1120,93.3,0.103,8.4,470,164.7
8511,2000,96.2,4.64,1659,77,26.2,10.4,18.3,1716,143,0.1,7.9,212,177.1
8512,2500,107.9,4.22,1004,70.2,30.3,18.9,24.6,1560,130,0.169,8.3,287,204.4
8513,2000,95.9,0.34,2098,66.3,26.5,19,22.8,2391,199.2,0.299,8.1,367,183.2
8514,2000,139.2,4.23,2317,90,28.8,11.1,20,1019,84.9,0.106,6.6,177,177.6
8515,1500,99.9,2.26,1727,70.2,32.8,16.8,24.8,1905,158.8,0.229,14.1,340,141.6
8516,3000,158.9,1.75,1682,79.2,27.3,16.7,22,1618,134.8,0.196,14.6,493,248.9
8517,3000,137,3.36,2208,86.2,25.3,15,20.2,2207,183.9,0.2,7.6,489,231.2
8518,2000,71.9,4.75,2327,87.7,26.9,10.3,18.6,2251,187.6,0.227,11.2,362,156.1
8519,2500,96.5,0.47,2462,72.3,29,11.1,20,1696,141.3,0.354,8.2,261,189.8
8520,2000,83.2,3.84,1518,89.3,27.4,16.6,22,1240,103.3,0.177,10.8,189,201
8521,2000,108.5,1.02,1892,81.7,32.2,15.3,23.8,1307,108.9,0.339,7.9,440,202.6
8522,1500,127.4,1.9,2234,77.5,32.9,10.5,21.7,2086,173.8,0.374,5.6,367,184.5
8523,2000,126,4.37,1798,80.8,27.4,15.2,21.3,2235,186.2,0.109,6.5,422,218.5
8524,2000,163.2,2.73,1693,70.8,27.7,18.5,23.1,1550,129.2,0.184,10.2,455,180.6
8525,1000,78.4,0.34,1858,72.7,30.6,18.9,24.8,1549,129.1,0.296,7.5,487,141.5
8526,2000,192,2.54,1535,77.6,32.5,17,24.8,1252,104.3,0.142,9.8,145,187.9
8527,2500,101.4,3.95,1288,69.8,34.6,16.6,25.6,1986,165.5,0.151,14.1,269,191.5
8528,2000,95,2.64,1100,83.1,28,17.7,22.8,1180,98.3,0.215,5.4,342,191.1
8529,2000,152.8,0.83,1915,67.5,34.1,11.3,22.7,2055,171.2,0.314,13.2,145,186.4
8530,3000,170.8,2.23,1569,83.9,26.8,11.9,19.4,1897,158.1,0.185,9.9,143,217.2
8531,1000,106.8,4.62,2324,64.6,25.4,14.9,20.2,2216,184.7,0.1,6.5,101,120.4
8532,2000,162,3.29,1334,66.5,32.9,14.5,23.7,1898,158.2,0.1,7.3,361,153
8533,2500,182.6,3.65,1466,82.6,29.8,11.8,20.8,1311,109.2,0.178,14.9,348,218
8534,2000,165,3.93,2456,67.9,25.8,16.8,21.3,1868,155.7,0.161,8.5,276,200.3
8535,2000,55.1,0.45,1834,83.9,25.7,17.4,21.5,2357,196.4,0.414,5.6,181,190.5
8536,1500,174.1,2.91,1520,83.5,25.1,12.7,18.9,2189,182.4,0.261,10.9,223,183.4
8537,2500,166.2,1.88,2291,67.7,28.1,13.1,20.6,1257,104.8,0.177,6.9,358,244.2
8538,2000,150.4,0.7,2115,62.2,32.4,12.6,22.5,1140,95,0.245,14,276,182.9
8539,2500,164,1.01,1860,65,31.7,12.8,22.2,2438,203.2,0.315,8.5,489,186.5
8540,2000,196.9,3.91,2334,82.6,35,13.6,24.3,2119,176.6,0.154,11.2,364,222.3
8541,2000,114.7,0.81,1141,85.4,30.9,14.4,22.6,2241,186.8,0.358,13.5,302,159.8
8542,2500,60.1,1.56,1592,71.5,26.1,14.8,20.5,2350,195.8,0.334,14.8,116,214.4
8543,2000,119.1,1.42,2216,64.9,34.8,14.8,24.8,1700,141.7,0.286,14.6,373,155.2
8544,2000,57,0.24,1579,62.3,31.9,16.2,24,2311,192.6,0.329,6.1,328,171.3
8545,2000,94.1,2.31,2390,66.5,28.7,13.4,21,1196,99.7,0.171,8.4,353,159.8
8546,2500,138,3.83,1229,89.4,27.5,15,21.2,1508,125.7,0.109,11.4,256,214.3
8547,2000,96.4,0.11,1505,65.1,27.2,15.1,21.2,1512,126,0.364,6.2,310,166.9
8548,2000,152.8,0.56,1639,62.6,34.6,11,22.8,1054,87.8,0.245,8.8,469,190.2
8549,1000,173.3,3.6,2030,83.6,29.2,16.3,22.8,1281,106.8,0.147,14.5,187,123
8550,3000,113.1,2.97,1293,78.5,29.9,12.8,21.4,2093,174.4,0.14,6.9,184,213.7
8551,1000,185,3.58,1015,76,33.4,10.5,22,1694,141.2,0.115,10,111,114
8552,2000,62,1.15,2465,73.4,34.6,16.5,25.6,1895,157.9,0.276,5.5,230,192.3
8553,2000,176,4.02,2348,81.1,25,10.5,17.8,1923,160.2,0.131,11.4,436,171.6
8554,2000,174.3,2.4,1450,81,34.9,14.4,24.6,1316,109.7,0.254,10.9,203,195.2
8555,2000,98.3,3.05,1725,72.7,25.8,16.2,21,2390,199.2,0.253,13.4,437,169.4
8556,1000,94.8,0.46,1733,67,33.4,20,26.7,1210,100.8,0.302,13.7,325,97.2
8557,2000,95.8,1.03,2304,85.2,34.5,15.2,24.8,1005,83.8,0.234,7.1,173,155.6
8558,2500,171.7,3.87,1896,64.9,30.6,13.2,21.9,1395,116.2,0.126,13.6,152,207.2
8559,2500,174.7,1.12,2240,76,30.5,14.9,22.7,1760,146.7,0.335,14.8,374,216.4
8560,1500,99.5,0.46,2368,80.8,31.7,12,21.8,1252,104.3,0.272,13.8,192,146.8
8561,2500,138.9,2.99,1849,79.2,28.5,14.4,21.4,2160,180,0.143,13.6,472,224.7
8562,2000,70.8,2.74,1428,78.6,26.7,18.7,22.7,1315,109.6,0.135,10.7,425,167.4
8563,2500,120.3,3.04,1748,79.9,25.7,11.4,18.6,2432,202.7,0.265,11.6,428,209.3
8564,2000,199.8,3.09,2276,86.3,33.8,15.3,24.5,2065,172.1,0.1,12.9,120,188.8
8565,2000,73.8,2.5,1875,71,30.5,16.2,23.4,2283,190.2,0.163,6.8,197,163.8
8566,3000,192.1,2.47,2344,78.8,31.9,13.1,22.5,1822,151.8,0.166,14.8,268,239.8
8567,2500,173.6,4.62,2343,80.9,28.3,17.4,22.8,1830,152.5,0.1,8,198,224.2
8568,2000,195.8,2.67,1560,77.7,33.1,16.6,24.8,2462,205.2,0.181,10.1,231,192.3
8569,1500,76.9,3.09,1672,87.1,28.5,14.6,21.6,1176,98,0.199,10.5,158,168.6
8570,2000,82,1.33,2017,79.6,25.3,16.4,20.8,1871,155.9,0.252,13.4,149,152.9
8571,2000,52.5,4.36,1167,72.7,28.4,18.4,23.4,1102,91.8,0.1,9.7,247,177.1
8572,1500,158.7,0.12,1698,85.4,33.5,16,24.8,2485,207.1,0.321,9.1,466,151.6
8573,1500,146.6,2.79,1224,74.7,33.8,15.7,24.8,1946,162.2,0.142,8.5,452,174.3
8574,2500,76.7,1.92,2272,75.9,34.3,16.2,25.2,1124,93.7,0.297,13.8,315,190.5
8575,1000,168.7,3.02,2414,77.5,30,16.8,23.4,1429,119.1,0.26,13.5,378,132.2
8576,2000,94.9,1.8,1212,69.7,34.6,14,24.3,2337,194.8,0.16,9.3,230,178.6
8577,1500,70.2,3.59,2001,81.7,30,18.4,24.2,1122,93.5,0.188,9.2,158,131.9
8578,2000,113.4,0.1,1955,62.9,26.5,19.2,22.8,1411,117.6,0.335,6.9,124,163.9
8579,1000,63.6,2.03,2140,86.1,30,16.2,23.1,1757,146.4,0.251,10,280,134.2
8580,1500,89.5,4.16,2044,82.6,33.7,18.9,26.3,2474,206.2,0.115,8.4,290,138
8581,2500,105.7,1.25,1326,70.6,32.9,17.4,25.2,1312,109.3,0.241,9.1,272,209.4
8582,2500,177.8,0.26,1437,66.8,29.3,14.2,21.8,2189,182.4,0.374,7,317,185.9
8583,1500,168.9,2.48,1248,71.6,27.1,15,21,1514,126.2,0.264,11.2,308,166.5
8584,2000,116.4,4.88,2382,84.2,30.8,15.7,23.2,1014,84.5,0.107,9.4,380,183.9
8585,2000,158.7,0.32,1783,60.9,34.3,19.4,26.8,2173,181.1,0.241,14.1,442,195.7
8586,2500,135.3,0.35,2464,74,26.8,16.5,21.6,1735,144.6,0.328,9.3,448,201.5
8587,2500,101.1,2.98,1674,67.6,33.3,15.1,24.2,1720,143.3,0.17,12.9,221,202
8588,2000,158.9,1.25,1829,86.2,26.5,11.2,18.8,2010,167.5,0.283,10.9,351,193.3
8589,2000,152.5,2.05,2184,72.4,34.2,16.7,25.5,1976,164.7,0.246,14,486,145.2
8590,2500,142.9,4.15,2196,80.9,31.9,15.5,23.7,1984,165.3,0.133,13.6,323,206.9
8591,1000,142.7,0.99,1347,70.7,26.1,19.4,22.8,1488,124,0.34,13.6,355,127.6
8592,2000,152.4,3.6,1432,69.9,27,13.4,20.2,1871,155.9,0.127,14.8,429,198.4
8593,3000,107.7,2.52,1147,69.8,34.3,18,26.2,2317,193.1,0.265,6.1,152,222.1
8594,2500,180.4,4.52,2208,80.3,30.1,12.8,21.5,2340,195,0.104,7.8,169,213
8595,2000,74.3,4.86,2191,88.9,29.5,11.7,20.6,1607,133.9,0.147,5,461,164.5
8596,2000,182.6,2.42,1122,66.2,25.6,10.1,17.8,1350,112.5,0.261,13.1,478,166.1
8597,2000,101.3,2.92,1386,79.3,25.8,19,22.4,1112,92.7,0.218,12,197,169.4
8598,2000,68.8,3.73,1675,68,31.9,14.4,23.2,2287,190.6,0.125,14.3,131,166.1
8599,2000,140,1.59,1813,76.5,32.8,12.8,22.8,1248,104,0.172,12.1,421,178.3
8600,2000,106.4,1.13,1784,76.2,33.7,14,23.8,1476,123,0.31,5.6,192,171.7
8601,2500,172.3,4.82,2475,73.5,30,17.1,23.6,2218,184.8,0.1,7.2,367,214
8602,2500,114.6,2.16,2146,75,28.3,13.9,21.1,2175,181.2,0.241,5.9,157,212
8603,1500,150.3,0.01,1170,86.4,31.3,12.3,21.8,1652,137.7,0.396,5.2,252,179.2
8604,2000,96.2,4.19,1440,62.7,31.2,10.9,21,2040,170,0.1,7.7,295,171.6
8605,2000,81.4,3,1518,84.9,25.3,16.2,20.8,1358,113.2,0.203,10.8,244,152.6
8606,2000,108.2,0.84,1473,73.9,34.4,19.7,27,2395,199.6,0.221,13.7,348,178.2
8607,1500,141,0.15,2179,70,31.4,16.3,23.8,2428,202.3,0.353,11.6,443,169.5
8608,2000,148.5,1.46,1541,65.3,25.1,19.5,22.3,2413,201.1,0.236,6.8,326,200.5
8609,2500,136.7,4.64,1739,84.4,34.6,18.8,26.7,1935,161.2,0.1,9.8,320,213.8
8610,2000,198.2,4.67,1800,77.8,34.5,11.6,23,1107,92.2,0.13,7.3,299,178.7
8611,3000,153.7,1.56,1406,81.9,34.5,18.8,26.6,1920,160,0.4,11,484,240.8
8612,3000,189.7,4.18,1484,69.4,33.9,10,22,1633,136.1,0.129,11,108,236.4
8613,1500,67.7,2.21,2170,71.8,26.8,15.1,21,1593,132.8,0.177,8.6,143,151.6
8614,1500,59.2,3.27,2300,87.4,34.8,15.2,25,1042,86.8,0.215,6.7,268,142.1
8615,3000,96.6,1.67,1056,88.8,32.6,17.3,25,2311,192.6,0.249,12.2,436,231.7
8616,3000,70.5,2.58,1908,82.2,31.4,17.6,24.5,2287,190.6,0.241,8,473,210.2
8617,1000,128.9,1.47,1950,82.5,34.4,12.3,23.4,1486,123.8,0.223,14.3,479,120.7
8618,1000,127.8,0.31,2106,80.8,28.8,18.8,23.8,2466,205.5,0.256,8.9,195,113.6
8619,1500,136.3,0.7,2041,77.6,34.3,11.8,23,1204,100.3,0.324,5.1,268,131.2
8620,3000,161.8,1.45,2316,77.9,31.1,19.6,25.4,2253,187.8,0.245,10.4,367,234
8621,1500,195.7,4.88,1118,88.9,30.8,19.9,25.4,1933,161.1,0.1,10.1,439,157
8622,2000,181.7,4.83,1583,82.5,31.5,17,24.2,1729,144.1,0.153,8.5,369,210.6
8623,2500,67.8,4.14,2173,79.7,32.5,16.5,24.5,2445,203.8,0.117,6.3,460,215.5
8624,1000,100.8,1.16,2270,65.7,29.4,19.8,24.6,1875,156.2,0.302,11.8,185,94.8
8625,2000,88.4,2.21,1397,89.3,34.8,12.4,23.6,2251,187.6,0.213,8,320,198
8626,1500,76.5,2.2,1878,75.6,25.9,16.4,21.2,1348,112.3,0.292,5.5,299,165.8
8627,2500,131.7,1.93,1271,88.3,34.1,14.1,24.1,1048,87.3,0.338,14.1,443,215.6
8628,1500,133,0.22,2276,81.4,31.6,11.7,21.6,1317,109.8,0.368,6.6,149,187.6
8629,2000,84.1,2.67,2096,61.2,34.1,11.3,22.7,2483,206.9,0.157,6.5,338,204.2
8630,2000,156.8,0.36,1333,76.2,28.7,17,22.8,1842,153.5,0.367,6.5,370,209.6
8631,1500,159.9,4.01,1936,86.8,33.3,12.3,22.8,2263,188.6,0.149,7.4,163,163.7
8632,1000,53.1,3.46,1764,61.6,31.2,16,23.6,2027,168.9,0.186,7.3,405,116.3
8633,2000,109.4,1.76,1388,86,33.3,12.4,22.8,1232,102.7,0.242,6.4,345,190.4
8634,1500,183.5,3.24,2340,78.4,28.3,14.5,21.4,1171,97.6,0.16,12.6,172,157.3
8635,2500,128,1.17,1222,61.3,34.2,17.4,25.8,1728,144,0.29,12.2,462,201.9
8636,2500,102.1,1.33,1701,71.2,34.2,15.3,24.8,2413,201.1,0.371,5.4,439,177.3
8637,2000,88.1,1.57,1874,60.9,29.7,18.7,24.2,1200,100,0.27,6.2,118,164.7
8638,2000,86.5,3.99,2235,60.1,29,15.3,22.2,1753,146.1,0.125,12.9,183,176.8
8639,2000,65,1.05,1225,86.9,30.8,11.9,21.4,2140,178.3,0.263,10.3,252,165.3
8640,2500,172.6,2.81,1914,82.5,27,19,23,1118,93.2,0.187,7.1,314,221
8641,2000,63,1,1010,68.7,30,14.2,22.1,1610,134.2,0.367,12.9,323,201.8
8642,1500,93.8,1.43,2234,63.4,34,18.7,26.4,1804,150.3,0.241,12.4,158,154.1
8643,1500,56.9,1.18,1352,61.6,28.7,12.3,20.5,1164,97,0.254,12.3,144,129.5
8644,2000,167.2,3.23,2081,87.5,32.4,16.4,24.4,1984,165.3,0.131,5.8,473,175.4
8645,2000,55.9,2.63,1903,78.8,31.2,11.7,21.4,2108,175.7,0.251,12.5,395,186.7
8646,2000,96.2,3.61,1075,64.8,27.6,10.8,19.2,1959,163.2,0.187,9,149,161
8647,1000,136,1.1,1275,80.4,30.3,20,25.2,1111,92.6,0.356,7.2,455,139.9
8648,2500,111.4,0.05,1402,90,33.5,10.1,21.8,1010,84.2,0.383,9.6,203,212.4
8649,1500,92.3,3.4,2330,83.6,30.5,15.9,23.2,2198,183.2,0.172,8,254,162.2
8650,1500,91.3,0.57,1721,73.4,32,10.1,21,1735,144.6,0.388,13.7,357,134
8651,2000,169.7,1.23,2370,84.4,32.8,15.5,24.2,1848,154,0.352,10.2,359,197.5
8652,1500,196.1,1.53,1071,82.3,25.5,11,18.2,2360,196.7,0.278,12,304,170.4
8653,2000,102.2,3.73,1010,62.7,25.5,17.9,21.7,1839,153.2,0.17,5.9,153,157.5
8654,2000,55.9,3.13,2422,87.8,26.1,12.9,19.5,1380,115,0.11,8.2,223,152.4
8655,2000,55.5,0.92,2086,86.5,26.6,13.4,20,1671,139.2,0.317,11.8,292,176.4
8656,2000,163.9,2.99,2175,77.7,33.1,12.5,22.8,1727,143.9,0.2,7.8,466,219.7
8657,1500,132.9,3.54,2374,75.2,29.4,11.1,20.2,2023,168.6,0.163,10.7,241,165.1
8658,1500,167.5,1.94,2477,66.8,26.9,15,21,1528,127.3,0.264,7.8,419,158.3
8659,2500,154.6,1.23,1147,85,30.3,14.5,22.4,2260,188.3,0.242,7.5,104,179.4
8660,2000,186.1,3.39,1237,73,32.6,15.4,24,1804,150.3,0.288,7.2,226,204.9
8661,2000,182.9,3.05,1283,77.4,26.4,16.3,21.4,1819,151.6,0.229,7.3,201,201.5
8662,1000,168.2,0.39,2228,65.1,28.4,10.9,19.6,2140,178.3,0.355,12.5,444,151.2
8663,2000,121.3,3.33,1533,66.4,26.9,14.1,20.5,1123,93.6,0.205,5.4,181,183.3
8664,2000,96.2,2.44,1890,89.6,31.5,15.9,23.7,2332,194.3,0.279,7.5,459,186.1
8665,2000,126.1,3.77,2283,74.8,26.4,13.2,19.8,1292,107.7,0.159,14.1,310,171.2
8666,2500,125.3,0.95,2025,84.5,32.8,11.9,22.3,1499,124.9,0.271,8.2,429,236.3
8667,1500,141.5,1.29,1098,84.9,27.1,16.1,21.6,1137,94.8,0.204,8.8,239,165.6
8668,1500,77.9,2.72,1669,89.4,25.6,17.2,21.4,1707,142.2,0.267,12.9,225,176.6
8669,2500,148.3,2.41,1101,89.5,34.1,17.5,25.8,1507,125.6,0.257,12,146,210.5
8670,3000,118.5,1.93,1718,73.7,28.3,13.3,20.8,1324,110.3,0.183,5.3,353,207.1
8671,1500,143,3.73,1329,88.5,30,11,20.5,1265,105.4,0.1,6.1,163,152.4
8672,2000,85.9,2.82,1002,71,26,19.2,22.6,1210,100.8,0.107,9.3,360,174
8673,1500,115.2,3.55,2220,78.2,29.8,16.9,23.4,1095,91.2,0.15,10,127,171.2
8674,1000,81.5,0.77,2454,84.7,27.2,19.5,23.4,1323,110.2,0.366,6.7,158,127.8
8675,2000,181.3,3.64,2446,87.4,33.4,11.5,22.4,1006,83.8,0.1,7.5,484,177.8
8676,1500,123.2,2.31,1449,75.7,32.1,16.6,24.4,1123,93.6,0.23,12.8,395,132.8
8677,2500,83.7,0.17,2243,72.5,31.6,12,21.8,2450,204.2,0.259,8.9,145,184.8
8678,2000,56.2,1.17,2018,81.9,32.8,18.7,25.8,1603,133.6,0.215,12.9,256,183.8
8679,1500,151.4,0.13,2200,73.7,27.9,15.2,21.5,2378,198.2,0.303,12.5,155,154.7
8680,1000,82.2,2.28,2269,80.2,29.5,15.3,22.4,1599,133.2,0.321,8.7,293,116.2
8681,2500,198.4,1.63,2470,84.1,25.9,19.3,22.6,2169,180.8,0.227,13.4,475,203
8682,1500,130.1,4.94,1228,85.2,25.7,13,19.4,2049,170.8,0.1,11.2,232,168.8
8683,2000,93.3,4.34,2155,67.6,28.3,16.2,22.2,1243,103.6,0.1,5.3,407,192.6
8684,2000,148.7,4.13,2101,77.1,33.2,11.4,22.3,1702,141.8,0.111,7,148,185.2
8685,2000,91.3,2.51,1432,60.8,31,13.6,22.3,1182,98.5,0.196,7.1,237,192.9
8686,2000,173,4.04,1589,83.9,29.2,11.9,20.6,1609,134.1,0.111,5.1,216,201.7
8687,1000,96.2,1.33,1265,63.8,34.7,12,23.4,1424,118.7,0.241,12,175,128.9
8688,1500,198.2,2.8,2370,86.2,29.4,16.6,23,1926,160.5,0.229,12.2,214,180.4
8689,1500,140.8,1.96,2319,72.2,29.7,12.9,21.3,2117,176.4,0.243,13.2,416,142
8690,2000,176.7,0.86,1921,65,34.9,12.5,23.7,2371,197.6,0.247,9.8,322,203
8691,2000,60.9,0.36,1767,83.9,26.3,18.1,22.2,1072,89.3,0.356,8.3,400,188.3
8692,1500,102.2,2.79,1349,66,27.6,14.7,21.2,2115,176.2,0.31,11.7,280,150.2
8693,1000,160.6,0.49,2184,71.8,29.5,13.8,21.6,1191,99.2,0.336,12.5,236,127.2
8694,2000,148.3,3.59,1012,77,30.7,18.2,24.4,2303,191.9,0.225,12.8,423,176.6
8695,2000,79.1,4.61,1694,70.8,26.5,14.9,20.7,1974,164.5,0.1,10.2,376,187.9
8696,3000,103.4,0.81,2291,65.4,28.3,18.1,23.2,2353,196.1,0.303,7.6,296,227.6
8697,2000,89.5,2.35,1928,72.2,27.2,13.2,20.2,1194,99.5,0.167,5.9,427,166.4
8698,2000,142,3.69,1953,64.3,33.5,19.6,26.6,1726,143.8,0.1,10,139,189.1
8699,2000,101.7,1.43,1106,81.6,33.3,19.2,26.2,1739,144.9,0.238,8.3,163,176.7
8700,3000,96.4,4.6,1430,65.1,27.4,18.2,22.8,2112,176,0.1,14.3,383,222.8
8701,2500,81.1,4.44,2011,74.5,29.3,12.1,20.7,2455,204.6,0.1,14.8,283,207.3
8702,2000,111.4,0.52,1074,76.8,31.5,17.3,24.4,1020,85,0.304,5.2,464,154.5
8703,1500,79.3,0.14,1496,88.4,25.5,18.2,21.8,1976,164.7,0.281,14.2,386,174.6
8704,1500,194.4,4.88,1531,62.3,33.8,13.6,23.7,1061,88.4,0.184,10,101,160.9
8705,2000,73.2,4.78,1748,87.9,30.1,11.4,20.8,1633,136.1,0.1,12.1,423,160.7
8706,2500,187,2.11,1544,66.2,27.3,12.7,20,2274,189.5,0.192,6.8,319,233.3
8707,2000,114.3,0.25,1681,85.2,29,15.9,22.4,1844,153.7,0.304,13.7,360,185.1
8708,1000,106.7,3.09,1820,62.7,34,12.5,23.2,2275,189.6,0.23,6.5,483,139.1
8709,2500,84.7,1.47,1193,89.7,25.2,16.6,20.9,1963,163.6,0.312,12.4,478,205.4
8710,2500,145.4,4.68,1271,84.2,26.4,13.9,20.2,2358,196.5,0.117,12.5,254,174.9
8711,1500,152.8,3.97,2249,61.9,26.9,12.3,19.6,2188,182.3,0.106,5.3,235,148.3
8712,2000,120.1,3.25,1690,66.4,25.6,16.1,20.8,2086,173.8,0.1,10.9,211,180.6
8713,2000,58.4,1.42,1533,76.5,27.3,10.7,19,2116,176.3,0.23,11.4,319,150.8
8714,2500,187.8,3.51,1651,75.7,33.2,16.2,24.7,1849,154.1,0.17,12.7,307,217.8
8715,2500,197,1.45,1262,78.9,30.3,19.7,25,2274,189.5,0.253,11.6,406,222.3
8716,2000,114.7,0.19,1360,73.9,31.1,17.1,24.1,1699,141.6,0.388,5.5,332,176.2
8717,2000,142,2.54,1773,82,26.6,13.3,20,1099,91.6,0.241,9.8,399,173.6
8718,2500,117.5,2.44,1538,70.5,27.8,19,23.4,2124,177,0.185,13.2,154,190.8
8719,2000,98.3,3.82,1713,65.3,34.2,15.3,24.8,2107,175.6,0.182,11,299,180.3
8720,2000,61.6,4.33,1225,61,27.1,15.3,21.2,1203,100.2,0.1,6.5,261,145.6
8721,2500,118.4,1.77,1235,69.7,34.1,13.8,24,1375,114.6,0.264,6.7,211,208.1
8722,1500,172.8,2.25,1576,72.8,31.6,10.5,21,1368,114,0.277,8.1,415,171.5
8723,2000,52.6,2.35,1568,79.8,30,12.7,21.4,1889,157.4,0.257,10.1,443,159.9
8724,2500,137.3,1.62,2325,84.2,26.7,18.2,22.4,1837,153.1,0.237,8.3,262,214.2
8725,2500,182.1,3.72,1050,67.2,31.7,12.6,22.2,1179,98.2,0.191,6.9,369,207.2
8726,2000,82.6,2.61,2489,74.8,33.9,14.1,24,1658,138.2,0.124,11.1,174,178.6
8727,1500,77.5,4.57,2435,67,26.6,16.3,21.5,1037,86.4,0.1,13.2,327,133.3
8728,2000,165.8,3.25,1813,88.5,25.1,12.8,19,1236,103,0.138,11.1,255,183
8729,1500,88.3,1.06,2078,79.4,32.4,18.1,25.2,1104,92,0.199,6.5,340,151.8
8730,1500,78.8,0.82,2403,80.3,31,19,25,1741,145.1,0.357,5.4,107,145.3
8731,2500,106.7,1.86,1377,75.9,30,10.6,20.3,1094,91.2,0.322,10.9,258,198
8732,1500,108.9,1.73,1473,68.5,29.6,15.7,22.6,2427,202.2,0.244,14.8,310,170.9
8733,2000,181.1,2.04,1166,66,30,13.5,21.8,1939,161.6,0.298,6.9,489,176.2
8734,2000,142.8,0.92,1846,79.7,28.7,15.5,22.1,2158,179.8,0.249,11.1,492,168.4
8735,3000,110.9,4.89,1239,87.7,25.8,15.5,20.6,1618,134.8,0.1,9.7,302,232.3
8736,2000,130.2,0.73,2396,66.4,32.8,10.1,21.4,2424,202,0.285,13.3,172,162.9
8737,1000,193.1,3.26,1647,77.2,29.7,16.5,23.1,2162,180.2,0.126,5.6,221,141.6
8738,1000,67,0.07,2380,75.9,33.2,12.2,22.7,1469,122.4,0.363,9.4,242,120.6
8739,2000,81.2,2.03,1308,79.2,34.8,15.6,25.2,1181,98.4,0.237,8,190,175.1
8740,2000,194.4,1.55,2041,77.6,26.7,19,22.8,1690,140.8,0.242,7.4,399,182.6
8741,2000,193.6,1.91,1971,68.2,32.9,11.9,22.4,1826,152.2,0.248,12.4,122,189.1
8742,2000,76.6,2.49,1600,80.7,34.8,12.7,23.8,1797,149.8,0.265,7,281,178.2
8743,1000,71.8,3,2348,68.2,32.2,10.6,21.4,2411,200.9,0.171,8.6,473,120.2
8744,2000,113.2,2.92,1652,79.6,27.5,14.9,21.2,2042,170.2,0.312,13.9,409,179.8
8745,2000,57.5,3.15,1298,69,34,18.7,26.4,1698,141.5,0.217,12.7,193,176.1
8746,1500,148.2,4.22,2465,62.5,32.9,15.4,24.2,2069,172.4,0.142,11.8,124,172.3
8747,1500,61.6,4.43,1662,63.8,29.5,13.5,21.5,1522,126.8,0.119,8.7,410,134.2
8748,1500,58.7,3.69,1312,85,30.7,19.1,24.9,2199,183.2,0.258,11.6,149,140.8
8749,1500,122.8,0.39,1545,63.6,32.2,15.3,23.8,2323,193.6,0.335,6.6,101,130.6
8750,2000,193.7,4.81,1920,69.9,26.2,19.7,23,2421,201.8,0.1,11.2,117,205
8751,1500,114,4.74,1768,68.6,34.3,17.5,25.9,1051,87.6,0.1,7.2,347,153.5
8752,1500,103.5,3.56,1953,61.7,34.9,19.1,27,1434,119.5,0.173,6.7,152,182.8
8753,1500,199.7,2.59,1993,78,28.3,16.5,22.4,1248,104,0.242,12.4,182,159.9
8754,3000,129.8,1.25,1185,84,32.2,19.9,26,2000,166.7,0.371,13.2,116,204.1
8755,2500,106.3,3.78,1472,89.8,29.2,15.3,22.2,1383,115.2,0.15,13.5,317,177.7
8756,1500,107.9,4.39,2123,88.1,25.3,16.4,20.8,1693,141.1,0.141,5.7,134,151.1
8757,2000,79.2,3.33,1976,61.5,34.6,11.3,23,2178,181.5,0.156,6.3,193,180.3
