tea_type,hexanal,pentanoic acid,hexanoic acid,propanoic acid,2-pentylfuran,benzyl alchol,acetic acid,furfural,2-phenylethanol
green tea,1.26,0.44,0.41,0.88,0.26,1.0,2.75,0.36,0.94
black tea,1.04,1.83,0.82,2.69,0.6,1.0,20.33,3.11,0.62
dark tea,0.79,1.93,1.12,2.8,1.13,0.86,27.41,3.85,0.33
oolong tea,1.99,1.14,0.46,1.6,0.52,1.99,13.74,2.27,1.38
white tea,0.33,0.87,0.09,0.82,0.13,1.07,5.13,0.79,1.05
green tea,1.03,0.84,0.59,0.95,0.37,0.78,4.13,0.54,0.6
black tea,1.32,1.63,0.77,2.26,0.44,0.86,20.03,2.8,0.8
dark tea,0.92,2.3,1.14,3.22,1.18,0.82,24.18,3.29,0.6
oolong tea,1.71,1.04,0.59,1.41,0.38,1.38,11.11,2.24,1.47
white tea,0.41,0.66,0.28,0.81,0.15,1.38,6.66,0.74,1.24
green tea,1.43,0.63,0.23,1.33,0.21,0.79,6.6,0.59,0.64
black tea,0.76,1.88,0.61,2.37,0.51,1.4,21.93,3.19,0.9
dark tea,0.67,2.03,1.16,3.61,1.02,0.81,24.09,4.37,0.54
oolong tea,1.23,1.08,0.56,1.73,0.09,1.7,11.6,2.03,1.64
white tea,0.49,0.88,0.21,0.74,0.15,1.27,7.31,0.79,1.11
green tea,1.67,0.61,0.44,0.94,0.3,0.69,2.87,0.51,0.61
black tea,1.11,1.31,1.02,3.17,0.31,1.32,17.97,3.57,0.84
dark tea,0.75,1.95,1.36,2.79,0.96,0.89,26.79,5.16,0.48
oolong tea,1.74,1.13,0.7,1.5,0.36,2.33,10.64,1.65,1.5
white tea,0.46,0.92,0.26,1.08,0.13,1.07,5.14,0.83,1.16
green tea,1.47,0.49,0.41,1.14,0.18,0.83,3.86,0.53,0.7
black tea,1.16,1.51,1.07,2.31,0.46,1.64,17.41,2.74,0.98
dark tea,0.49,1.94,1.53,2.67,0.5,0.56,27.25,4.56,0.49
oolong tea,1.67,1.39,0.77,1.44,0.18,1.79,10.75,1.94,1.56
white tea,0.51,0.91,0.24,1.04,0.22,1.16,6.63,0.86,1.51
green tea,0.94,0.49,0.39,1.23,0.35,0.85,2.58,0.66,0.81
black tea,0.81,1.6,0.57,2.5,0.44,1.29,20.29,2.77,1.0
dark tea,0.57,2.08,1.01,3.11,0.94,0.82,28.34,3.96,0.59
oolong tea,1.39,1.18,0.6,1.48,0.22,2.08,12.14,1.83,1.34
white tea,0.55,0.81,0.23,0.65,0.16,1.38,5.67,0.75,1.24
green tea,1.1,0.74,0.54,1.07,0.2,0.45,2.52,0.38,0.72
black tea,1.09,1.33,0.8,2.94,0.62,0.82,19.68,2.73,1.01
dark tea,0.85,1.78,1.02,3.08,0.46,0.79,24.32,4.49,0.41
oolong tea,1.35,0.89,0.42,1.2,0.5,1.83,11.72,1.9,1.35
white tea,0.38,0.82,0.16,0.99,0.16,1.07,6.16,0.73,1.16
green tea,1.22,0.57,0.18,0.83,0.3,1.03,3.09,0.52,0.74
black tea,1.27,1.19,0.69,2.63,0.64,1.59,19.43,2.72,0.92
dark tea,0.92,2.03,0.99,3.61,0.97,0.62,25.95,4.5,0.7
oolong tea,1.48,1.09,0.7,1.2,0.44,1.66,13.36,1.94,1.85
white tea,0.45,0.6,0.36,1.12,0.24,1.02,5.12,0.88,1.03
green tea,1.72,0.57,0.18,1.21,0.22,0.84,3.63,0.65,0.87
black tea,1.2,1.53,0.84,2.76,0.45,1.25,21.15,3.83,1.07
dark tea,0.66,2.21,0.98,3.51,0.76,0.62,25.7,2.7,0.33
oolong tea,1.46,1.16,0.5,1.11,0.32,2.1,12.52,2.0,1.83
white tea,0.44,0.66,0.23,0.6,0.19,1.34,6.36,1.1,1.1
green tea,1.64,0.53,0.55,1.15,0.3,1.11,3.81,0.58,0.89
black tea,1.13,1.34,1.23,2.57,0.57,1.35,18.48,2.87,0.89
dark tea,0.53,1.93,1.19,3.15,0.58,0.95,25.26,4.72,0.52
oolong tea,1.28,1.2,0.52,1.21,0.55,1.84,8.28,2.33,1.5
white tea,0.34,0.53,0.38,0.62,0.2,1.31,6.03,0.84,0.85
green tea,1.1,0.57,0.32,1.19,0.3,1.02,2.77,0.82,0.82
black tea,1.15,1.82,1.26,2.21,0.52,0.73,20.48,3.39,0.84
dark tea,0.67,1.49,1.22,3.8,0.75,0.81,21.08,4.23,0.5
oolong tea,1.31,1.02,0.5,1.6,0.27,1.9,11.43,1.73,1.96
white tea,0.31,0.67,0.18,1.16,0.23,0.99,6.88,0.89,1.2
green tea,1.21,0.46,0.43,1.05,0.39,0.63,5.54,0.54,0.74
black tea,1.3,1.47,1.0,1.8,0.46,0.99,16.87,3.17,0.92
dark tea,0.84,2.06,1.03,3.39,0.87,0.87,26.94,4.02,0.44
oolong tea,1.34,1.05,0.51,1.57,0.47,1.99,11.53,2.04,1.5
white tea,0.31,0.53,0.2,0.93,0.16,1.11,6.08,0.94,0.96
green tea,1.55,0.69,0.29,1.01,0.34,0.82,1.8,0.38,0.66
black tea,0.95,1.52,0.86,3.3,0.51,1.34,23.57,3.79,0.9
dark tea,0.5,2.12,1.33,3.22,1.16,0.86,26.42,4.54,0.59
oolong tea,0.9,1.06,0.7,1.3,0.38,1.74,14.62,2.42,1.42
white tea,0.41,0.66,0.3,0.94,0.24,1.21,8.8,0.67,0.85
green tea,1.2,0.35,0.25,0.97,0.18,0.68,4.52,0.49,0.67
black tea,1.31,1.45,0.8,2.89,0.31,0.73,20.87,3.43,1.21
dark tea,0.77,2.2,1.12,3.36,1.14,0.48,26.03,5.07,0.59
oolong tea,1.91,1.04,0.55,1.51,0.18,1.71,9.58,2.21,1.77
white tea,0.43,0.85,0.24,1.06,0.2,1.16,5.17,0.97,1.08
green tea,1.54,0.41,0.29,1.27,0.24,0.77,4.89,0.47,0.67
black tea,1.39,1.91,1.13,2.64,0.7,0.98,17.73,2.37,1.14
dark tea,0.64,1.97,0.99,3.51,0.78,0.59,26.1,3.28,0.45
oolong tea,0.97,0.9,0.57,1.01,0.25,2.0,10.55,2.5,1.97
white tea,0.31,0.82,0.31,0.75,0.13,1.15,5.28,0.77,1.23
green tea,1.11,0.41,0.41,1.22,0.16,1.01,2.23,0.48,0.66
black tea,1.04,1.49,1.18,2.43,0.86,1.23,20.23,3.43,1.29
dark tea,0.63,1.72,1.02,3.26,0.55,0.75,29.23,4.08,0.51
oolong tea,1.35,1.31,0.45,1.96,0.59,2.06,11.48,2.26,1.82
white tea,0.32,0.68,0.15,0.92,0.23,0.91,4.93,0.61,0.99
green tea,1.44,0.46,0.37,0.87,0.26,0.84,3.27,0.53,0.73
black tea,1.01,1.3,1.17,2.51,0.54,1.33,27.5,2.78,0.93
dark tea,0.66,1.87,1.02,2.83,0.84,0.57,27.37,4.03,0.6
oolong tea,1.38,1.09,0.59,1.21,0.36,1.79,9.94,1.47,1.87
white tea,0.33,0.9,0.33,0.62,0.15,1.6,7.69,0.84,1.2
green tea,1.14,0.6,0.33,0.79,0.15,0.85,2.87,0.54,0.54
black tea,1.01,1.77,0.89,2.75,0.66,1.23,23.62,3.08,0.77
dark tea,0.59,1.89,1.32,3.74,1.02,0.53,27.71,3.08,0.66
oolong tea,1.41,1.27,0.38,1.79,0.25,1.83,9.75,1.56,1.62
white tea,0.58,1.08,0.26,1.05,0.21,1.24,5.07,0.88,1.24
green tea,1.16,0.54,0.39,1.29,0.17,0.84,5.91,0.7,0.9
black tea,1.15,1.66,1.03,3.34,0.31,0.92,23.27,3.15,0.73
dark tea,0.59,1.86,0.9,4.03,0.85,0.74,26.47,4.48,0.67
oolong tea,1.77,1.04,0.51,1.69,0.35,2.0,12.2,2.2,1.24
white tea,0.47,0.72,0.3,0.99,0.28,1.39,7.18,1.1,1.2
green tea,1.31,0.66,0.47,1.1,0.28,0.84,3.15,0.71,0.71
black tea,1.51,1.27,0.75,2.76,0.69,1.22,20.78,2.83,0.65
dark tea,0.79,1.66,1.06,3.44,0.68,0.95,28.06,3.21,0.43
oolong tea,0.93,1.01,0.65,1.4,0.45,1.62,12.9,1.86,1.6
white tea,0.39,0.59,0.16,1.02,0.22,1.33,5.91,0.88,0.85
green tea,1.23,0.55,0.6,1.27,0.37,0.95,3.29,0.56,0.74
black tea,0.99,1.52,0.81,3.35,0.29,1.36,17.66,2.74,1.06
dark tea,0.84,2.31,1.29,4.02,0.95,0.73,25.86,4.62,0.45
oolong tea,1.34,1.1,0.29,1.53,0.21,2.01,13.01,1.88,1.94
white tea,0.25,0.9,0.3,0.55,0.33,1.14,4.4,0.6,1.11
green tea,1.27,0.56,0.37,1.26,0.22,0.51,3.85,0.27,0.75
black tea,0.98,1.63,1.08,2.39,0.68,1.07,24.38,3.11,0.7
dark tea,0.84,1.89,1.0,3.07,0.84,0.92,20.16,4.01,0.63
oolong tea,1.55,1.38,0.54,1.45,0.46,2.02,10.82,2.13,1.47
white tea,0.34,0.68,0.35,0.45,0.22,1.16,3.4,0.9,1.23
green tea,1.45,0.27,0.54,1.02,0.3,0.98,3.12,0.63,0.64
black tea,0.79,1.83,0.71,2.43,0.5,1.2,19.86,3.46,0.62
dark tea,0.66,1.97,1.48,3.21,1.04,0.75,6.4,3.88,0.53
oolong tea,1.65,1.39,0.59,1.8,0.3,1.9,10.23,2.08,1.53
white tea,0.47,0.63,0.25,0.97,0.1,1.52,5.15,0.5,1.18
green tea,1.31,0.54,0.5,1.28,0.27,0.93,3.9,0.77,0.48
black tea,1.17,1.61,0.99,5.67,0.33,1.18,20.7,3.81,0.63
dark tea,0.89,2.59,1.08,2.77,0.78,0.75,26.41,3.7,0.74
oolong tea,1.22,0.85,0.69,0.93,0.38,2.75,11.48,1.72,1.59
white tea,0.39,0.77,0.3,0.67,0.28,1.19,6.41,0.74,1.38
green tea,1.24,0.58,0.31,0.98,0.3,0.77,3.15,0.47,0.8
black tea,1.04,1.58,0.85,2.03,0.37,1.21,18.16,3.65,1.02
dark tea,0.84,2.45,1.14,3.49,0.75,1.06,29.96,4.01,0.6
oolong tea,1.84,1.12,0.47,1.72,0.41,2.05,10.04,1.57,1.65
white tea,0.49,0.72,0.36,0.73,0.15,1.14,5.4,0.98,1.01
green tea,1.64,0.8,0.4,1.37,0.17,1.04,5.05,0.66,0.7
black tea,0.72,1.47,0.74,2.38,0.57,1.08,17.94,2.85,0.72
dark tea,0.89,1.83,1.06,3.08,0.91,0.81,18.0,4.51,0.73
oolong tea,1.24,0.98,0.49,1.31,0.42,1.51,9.54,2.38,1.41
white tea,0.52,0.79,0.11,0.96,0.19,1.07,5.81,0.93,1.27
green tea,1.59,0.6,0.26,1.07,0.44,0.98,6.37,0.72,0.74
black tea,1.2,1.59,0.55,2.76,0.7,1.05,21.03,3.57,0.69
dark tea,0.69,1.75,1.01,2.77,0.69,0.93,22.71,4.06,0.49
oolong tea,1.79,1.38,0.66,1.58,0.38,1.7,14.9,1.81,1.73
white tea,0.51,0.68,0.33,0.98,0.29,1.07,3.89,0.76,1.19
green tea,1.31,0.5,0.21,1.23,0.4,0.93,4.61,0.62,0.76
black tea,1.31,1.68,0.8,2.45,0.52,1.2,19.21,3.37,0.93
dark tea,0.85,2.32,1.16,2.76,0.79,0.76,20.41,4.69,0.57
oolong tea,1.6,1.39,0.47,1.64,0.39,1.95,10.15,2.42,1.52
white tea,0.47,0.52,0.34,1.03,0.2,1.11,6.0,1.25,0.84
green tea,1.5,0.44,0.4,1.11,0.22,0.85,2.87,0.68,0.43
black tea,1.24,1.53,0.65,2.83,0.36,1.16,16.44,3.42,0.69
dark tea,0.69,2.07,1.01,3.23,0.59,0.83,29.41,5.4,0.56
oolong tea,1.7,0.84,0.74,1.69,0.35,2.31,11.05,1.89,1.7
white tea,0.29,0.88,0.17,0.67,0.15,1.28,4.73,0.61,1.04
green tea,1.29,0.4,0.28,1.52,0.19,0.79,3.63,0.5,0.79
black tea,1.32,1.54,0.63,3.23,0.54,1.45,14.39,3.32,1.19
dark tea,0.71,1.94,1.2,3.04,0.8,0.71,23.43,4.61,0.61
oolong tea,1.56,1.29,0.52,1.31,0.34,5.35,9.65,1.87,1.5
white tea,0.61,0.45,0.24,1.15,0.21,1.28,5.62,0.73,0.76
green tea,1.35,0.45,0.32,1.06,0.38,1.27,4.22,0.49,0.52
black tea,1.23,1.96,0.81,1.86,0.63,1.32,16.04,3.32,0.93
dark tea,0.74,1.8,1.33,3.1,0.59,0.49,28.15,4.31,0.56
oolong tea,1.39,1.06,0.42,1.39,0.19,1.82,10.96,2.15,1.59
white tea,0.48,0.92,0.33,0.93,0.2,0.98,6.42,1.14,1.21
green tea,1.78,0.36,0.28,1.3,0.27,1.08,3.98,0.44,0.67
black tea,0.88,1.37,1.02,3.08,0.6,0.85,19.1,2.79,1.06
dark tea,0.68,1.73,1.16,3.01,1.11,0.66,21.5,2.92,0.55
oolong tea,1.36,0.9,0.7,1.67,0.4,2.34,12.66,1.79,1.39
white tea,0.48,0.8,0.26,0.7,0.23,1.02,5.37,1.1,1.03
green tea,0.91,0.42,0.5,1.19,0.24,0.76,4.49,0.44,0.75
black tea,1.02,1.42,0.74,2.61,0.54,1.19,13.5,2.95,0.78
dark tea,0.94,1.73,1.18,3.81,0.62,0.8,22.99,3.75,0.45
oolong tea,1.32,1.63,0.66,1.78,0.45,1.6,12.19,2.27,1.43
white tea,0.5,0.84,0.39,0.78,0.15,1.09,7.29,0.53,0.79
green tea,1.32,0.49,0.4,1.32,0.21,0.52,6.04,0.43,0.54
black tea,1.34,1.52,0.84,2.93,0.69,1.09,23.8,2.45,0.98
dark tea,0.65,2.34,1.17,3.0,0.97,0.86,26.6,3.49,0.49
oolong tea,1.5,1.14,0.64,1.0,0.43,1.93,10.03,1.81,1.56
white tea,0.18,0.66,0.18,0.94,0.16,1.11,7.43,1.02,1.31
green tea,1.18,0.62,0.38,1.12,0.28,0.75,5.49,0.53,0.79
black tea,1.4,1.81,0.6,2.92,0.66,1.31,17.22,3.0,1.02
dark tea,0.65,1.93,1.43,3.23,0.72,0.64,25.83,3.33,0.52
oolong tea,1.58,1.38,0.63,1.32,0.52,1.93,9.34,1.96,1.89
white tea,0.42,0.75,0.37,0.6,0.14,0.87,5.97,0.88,1.42
green tea,1.36,0.5,0.4,1.17,0.12,1.32,4.52,0.58,0.79
black tea,1.27,1.57,0.74,2.97,0.6,1.01,23.55,3.36,0.98
dark tea,0.92,2.01,1.21,3.55,0.72,0.76,25.31,3.52,0.84
oolong tea,1.15,0.92,0.71,1.68,0.3,2.15,14.07,1.99,2.12
white tea,0.23,0.84,0.34,1.01,0.19,1.1,6.06,0.99,1.26
green tea,1.56,0.42,0.38,0.99,0.22,1.03,4.11,0.88,0.73
black tea,1.16,1.62,0.74,2.73,0.69,1.17,18.02,2.9,0.77
dark tea,0.76,2.3,0.92,3.13,0.21,0.52,22.92,3.66,0.45
oolong tea,1.55,1.12,0.48,1.61,0.57,2.41,8.14,2.14,1.56
white tea,0.42,0.7,0.26,0.88,0.17,0.99,4.94,0.89,1.25
green tea,1.51,0.49,0.43,1.32,0.34,0.84,3.78,0.57,0.53
black tea,1.12,1.75,0.96,2.65,0.58,1.01,21.76,3.22,0.8
dark tea,0.7,1.98,1.07,3.5,0.78,0.95,28.66,3.55,0.56
oolong tea,1.34,1.09,0.8,1.42,0.44,2.14,9.75,1.79,1.36
white tea,0.31,0.45,0.29,1.21,0.21,0.9,4.7,0.77,0.97
green tea,1.52,0.65,0.28,1.28,0.36,1.18,6.6,0.44,1.1
black tea,1.09,1.48,0.91,2.53,0.6,0.92,19.4,3.73,0.84
dark tea,0.77,2.12,1.35,2.63,0.95,0.72,25.42,4.53,0.4
oolong tea,1.25,0.81,0.48,1.83,0.39,1.66,10.65,1.63,1.37
white tea,0.44,0.6,0.33,0.84,0.2,1.1,6.47,0.99,1.21
green tea,1.44,0.52,0.45,1.09,0.25,0.8,3.54,0.46,0.77
black tea,1.38,1.83,0.63,3.23,0.51,1.26,17.73,3.3,0.9
dark tea,0.56,2.15,1.39,3.18,1.09,0.73,27.12,2.89,0.85
oolong tea,1.87,1.1,0.3,1.57,0.26,2.11,12.22,1.76,1.82
white tea,0.48,0.87,0.25,0.6,0.25,1.1,3.76,1.09,1.52
green tea,1.29,0.82,0.41,1.08,0.2,1.14,3.22,0.64,0.62
black tea,1.07,1.81,0.78,2.6,0.69,1.43,21.61,3.0,0.76
dark tea,0.76,2.08,0.98,3.52,0.86,0.54,22.68,3.75,0.54
oolong tea,1.97,1.19,0.44,1.56,0.36,2.08,12.52,2.3,1.6
white tea,0.56,0.86,0.2,1.24,0.22,1.0,7.57,1.21,1.14
green tea,1.17,0.53,0.47,1.37,0.29,0.87,5.5,0.51,0.85
black tea,1.1,1.69,0.83,2.73,0.5,1.39,18.17,2.97,1.22
dark tea,0.87,1.4,1.05,2.57,0.68,0.45,24.66,3.43,0.56
oolong tea,1.09,1.16,0.5,1.88,0.54,2.2,10.93,2.5,1.29
white tea,0.26,0.74,0.42,0.81,0.19,0.9,6.68,1.02,1.29
green tea,1.14,0.46,0.27,1.16,0.17,0.64,3.58,0.49,0.62
black tea,1.23,1.62,0.8,2.82,0.43,1.17,20.38,2.69,1.02
dark tea,0.64,2.02,1.35,3.6,0.86,0.7,27.37,4.34,0.47
oolong tea,1.3,0.79,0.57,1.48,0.51,2.09,13.83,1.83,1.83
white tea,0.35,0.85,0.14,0.89,0.1,1.1,6.05,0.76,0.97
green tea,1.51,0.54,0.35,1.16,0.44,1.05,5.16,0.6,0.72
black tea,0.73,1.46,0.77,2.05,0.41,0.8,19.9,3.56,1.04
dark tea,0.8,1.76,0.81,2.59,0.63,0.64,24.6,3.49,0.59
oolong tea,1.44,1.15,0.69,1.2,0.44,2.0,10.92,2.22,1.78
white tea,0.31,0.73,0.27,0.8,0.23,1.2,7.79,0.58,1.13
green tea,1.07,0.63,0.24,1.21,0.2,0.72,2.55,0.49,0.86
black tea,1.15,1.73,1.14,2.85,0.48,1.23,18.64,3.06,0.58
dark tea,0.87,1.9,1.18,2.86,0.93,0.65,24.65,4.44,0.65
oolong tea,1.49,0.84,0.88,1.94,0.47,1.81,11.3,1.86,1.85
white tea,0.43,0.65,0.21,1.05,0.28,1.42,6.45,0.81,0.72
green tea,1.37,0.55,0.41,1.16,0.15,0.95,4.63,0.64,0.84
black tea,1.26,1.52,0.84,2.78,0.56,1.32,21.61,4.03,1.24
dark tea,0.76,1.35,1.37,3.05,0.71,0.7,23.88,4.31,0.36
oolong tea,1.23,1.21,0.63,1.66,0.32,1.76,10.61,2.06,1.9
white tea,0.2,0.72,0.15,0.56,0.25,1.25,6.06,1.01,1.07
green tea,1.19,0.82,0.38,1.28,0.25,0.53,1.96,0.48,0.86
black tea,1.29,1.78,0.68,3.36,0.43,1.19,19.97,3.18,1.08
dark tea,0.66,1.66,1.15,3.1,1.32,0.83,23.98,3.47,0.31
oolong tea,1.24,1.17,0.73,1.78,0.42,1.92,11.97,1.87,1.94
white tea,0.38,0.74,0.09,0.82,0.24,0.96,4.56,0.99,0.89
green tea,1.56,0.48,0.36,0.95,0.28,1.28,4.78,0.44,0.87
black tea,1.09,1.87,0.99,1.8,0.42,1.32,20.38,2.87,0.74
dark tea,0.51,1.98,1.54,3.55,1.23,0.86,27.57,4.99,0.6
oolong tea,1.45,1.33,0.73,1.38,0.33,2.03,12.96,2.2,1.32
white tea,0.59,0.67,0.23,0.69,0.33,1.19,4.44,1.0,1.28
green tea,1.25,0.66,0.32,1.06,0.03,0.62,5.81,0.76,0.71
black tea,1.44,1.57,0.81,2.77,0.53,1.11,22.86,3.31,0.97
dark tea,0.88,2.1,0.98,2.74,0.88,0.73,25.22,3.99,0.87
oolong tea,1.17,0.8,0.59,1.41,0.43,2.15,13.75,1.62,1.49
white tea,0.44,0.85,0.41,1.02,0.2,0.99,4.79,0.75,1.26
green tea,1.36,0.38,0.36,1.3,0.28,0.95,4.38,0.75,0.74
black tea,1.08,1.42,0.89,1.83,0.53,1.11,16.59,2.9,0.99
dark tea,0.78,2.03,1.2,3.28,1.07,0.77,21.35,4.82,0.6
oolong tea,1.35,0.93,0.6,1.47,0.56,1.91,10.03,2.22,1.79
white tea,0.42,0.83,0.25,0.89,0.26,1.26,5.29,1.09,0.74
green tea,1.81,0.34,0.34,1.14,0.24,1.03,2.94,0.58,0.61
black tea,1.2,1.59,0.87,2.54,0.49,1.2,22.36,3.03,0.7
dark tea,0.83,1.99,1.3,2.91,0.54,0.68,23.08,3.96,0.47
oolong tea,1.69,1.1,0.57,1.54,0.42,1.99,12.39,1.8,1.88
white tea,0.38,0.59,0.26,0.7,0.23,1.54,4.52,0.91,0.84
green tea,1.41,1.37,0.34,0.96,0.3,1.03,4.02,0.44,0.94
black tea,1.02,1.17,0.93,2.34,0.67,1.08,21.51,3.78,0.64
dark tea,0.68,1.98,1.42,3.0,0.75,0.81,23.56,4.08,0.36
oolong tea,2.05,0.91,0.51,1.49,0.59,1.67,14.97,2.19,1.68
white tea,0.3,0.82,0.2,1.07,0.15,1.13,4.81,0.68,1.28
green tea,1.43,0.7,0.22,1.34,0.44,0.77,5.9,0.52,0.49
black tea,1.1,1.81,0.7,2.52,0.62,1.15,21.46,3.34,0.93
dark tea,0.7,2.06,0.99,3.73,0.74,0.89,24.42,4.1,0.49
oolong tea,1.25,0.84,0.42,1.42,0.42,2.25,10.72,1.78,1.31
white tea,0.45,0.92,0.34,0.97,0.23,1.45,5.92,0.96,1.09
green tea,0.96,0.46,0.4,1.16,0.39,0.86,5.18,0.5,0.65
black tea,0.92,1.45,0.94,2.75,0.67,1.18,19.12,4.06,0.83
dark tea,0.9,1.9,1.27,3.6,0.89,0.46,25.05,4.62,0.62
oolong tea,1.61,0.85,0.46,1.6,0.44,2.3,11.25,2.1,1.6
white tea,0.3,0.47,0.28,0.88,0.17,0.87,6.29,0.8,1.25
green tea,1.77,0.28,0.33,1.11,0.36,0.56,5.94,0.57,0.69
black tea,1.12,1.51,1.03,2.35,0.59,1.08,18.09,4.22,0.92
dark tea,0.83,2.28,0.9,3.91,0.45,0.65,23.85,4.29,0.58
oolong tea,1.46,1.15,0.43,1.13,0.47,2.17,14.27,1.8,1.74
white tea,0.37,0.9,0.33,0.89,0.18,1.32,6.31,0.73,0.92
green tea,1.23,0.74,0.51,0.96,0.16,1.07,2.86,0.61,0.61
black tea,1.43,1.45,1.05,2.82,0.58,0.81,14.49,3.17,0.89
dark tea,0.61,1.73,1.25,3.46,0.83,0.85,22.06,3.82,0.76
oolong tea,1.52,1.17,0.84,1.15,0.48,2.42,10.93,2.21,1.4
white tea,0.33,0.8,0.31,1.05,0.28,1.14,6.99,0.79,1.31
green tea,1.35,0.61,0.44,0.87,0.17,0.87,2.31,0.65,0.83
black tea,1.21,1.38,1.09,3.51,0.57,1.24,20.5,3.45,0.83
dark tea,0.75,2.23,1.56,2.72,0.83,0.6,28.98,3.71,0.37
oolong tea,1.66,1.46,0.63,1.55,0.44,2.35,9.97,1.97,1.51
white tea,0.28,0.71,0.33,0.95,0.23,1.18,6.15,0.71,1.1
green tea,1.35,0.58,0.43,1.13,0.22,1.32,4.91,0.6,0.67
black tea,1.07,1.57,0.9,2.04,0.35,1.04,20.52,3.16,1.11
dark tea,0.56,1.81,1.42,3.3,1.0,1.01,23.27,3.95,0.52
oolong tea,1.01,1.1,0.66,1.64,0.46,1.91,10.35,2.32,1.5
white tea,0.43,0.77,0.36,1.02,0.14,0.94,6.22,0.84,1.07
green tea,1.55,0.57,0.41,1.29,0.22,1.12,3.21,0.63,0.92
black tea,0.91,1.53,1.05,3.18,0.53,1.02,22.39,3.69,0.65
dark tea,0.6,2.06,1.26,3.14,0.97,0.66,19.71,3.79,0.56
oolong tea,1.43,0.95,0.32,1.37,0.49,2.31,13.58,1.8,1.37
white tea,0.45,0.83,0.28,0.5,0.16,1.14,6.11,0.98,1.18
green tea,1.38,0.56,0.47,1.2,0.25,0.8,4.08,0.61,0.74
black tea,1.22,1.87,0.9,2.51,0.66,0.91,17.3,3.38,0.94
dark tea,0.59,1.9,1.04,3.07,1.02,0.84,24.95,3.73,0.38
oolong tea,1.86,1.25,0.46,1.68,0.39,1.93,12.26,1.81,1.53
white tea,0.41,0.69,0.3,1.18,0.16,0.86,3.0,0.82,1.03
green tea,1.35,0.57,0.24,0.83,0.27,0.87,3.57,0.34,0.77
black tea,1.37,1.66,0.7,2.77,0.38,1.34,20.2,2.59,0.8
dark tea,0.81,1.92,1.1,2.79,0.95,0.67,19.61,3.81,0.67
oolong tea,1.4,1.45,0.6,1.58,0.39,1.98,11.04,1.92,1.71
white tea,0.31,0.62,0.17,1.21,0.23,1.2,4.18,0.96,1.13
green tea,1.35,0.43,0.42,1.08,0.19,0.98,2.46,0.62,0.8
black tea,1.0,1.44,0.81,2.86,0.53,1.23,24.41,3.06,0.55
dark tea,0.85,2.42,1.22,2.84,0.83,0.61,26.61,3.32,0.51
oolong tea,1.25,1.17,0.5,1.54,0.4,1.75,12.6,1.99,1.4
white tea,0.62,0.81,0.24,1.1,0.29,1.12,5.93,0.68,1.12
green tea,1.25,0.57,0.43,1.25,0.27,0.64,3.06,0.48,0.66
black tea,1.33,1.37,0.79,3.11,0.51,1.23,19.65,3.35,0.81
dark tea,0.83,1.61,1.09,3.36,0.94,0.94,24.02,4.74,0.47
oolong tea,1.83,1.29,0.44,1.58,0.39,2.16,11.11,1.92,1.87
white tea,0.39,0.85,0.23,1.14,0.17,1.04,7.41,0.77,1.43
green tea,1.52,0.53,0.22,1.15,0.26,1.05,5.59,0.46,0.82
